pay_date,period_start,period_end,employee_id,full_name,department,annual_salary,gross_pay,employee_taxes,benefits,net_pay,employer_cost,location,bank_account,direct_deposit_last4
2025-10-03,2025-09-20,2025-10-03,EMP-001,Priya Nair,Finance,185000,4634.94,354.57,95.0,4185.37,5084.51,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-002,Jordan Hale,Finance,162000,4058.71,310.49,95.0,3653.22,4464.2,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-003,Marcus Chen,Engineering,210000,5261.29,402.49,95.0,4763.8,5758.78,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-004,Elena Vasquez,Engineering,198000,4960.64,379.49,95.0,4486.15,5435.13,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-005,Maya Ortiz,Operations,98000,2455.27,187.83,95.0,2172.44,2738.1,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-006,Chris Lang,Engineering,175000,4384.41,335.41,95.0,3954.0,4814.82,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-007,Sofia Rahman,Sales,140000,3507.53,268.33,95.0,3144.2,3870.86,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-008,Noah Patel,Sales,128000,3206.88,245.33,95.0,2866.55,3547.21,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-009,Hannah Kim,Customer Success,110000,2755.91,210.83,95.0,2450.08,3061.74,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-010,Luis Romero,Engineering,188000,4710.11,360.32,95.0,4254.79,5165.43,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-011,Ava Berg,Engineering,172000,4309.24,329.66,95.0,3884.58,4733.9,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-012,Owen Blake,G&A,92000,2304.94,176.33,95.0,2033.61,2576.27,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-013,Grace Liu,Finance,125000,3131.72,239.58,95.0,2797.14,3466.3,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-014,Theo Grant,Engineering,205000,5136.02,392.91,95.0,4648.11,5623.93,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-015,Nina Volkov,Sales,135000,3382.26,258.74,95.0,3028.52,3736.0,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-016,Jamal Wright,Customer Success,102000,2555.48,195.49,95.0,2264.99,2845.97,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-017,Ivy Chen,Engineering,168000,4209.03,321.99,95.0,3792.04,4626.02,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-018,Peter Holm,Operations,88000,2204.73,168.66,95.0,1941.07,2468.39,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-019,Sara Quill,G&A,76000,1904.09,145.66,95.0,1663.43,2144.75,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-020,Benito Cruz,Engineering,181000,4534.73,346.91,95.0,4092.82,4976.64,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-021,Leah Morse,Finance,118000,2956.34,226.16,95.0,2635.18,3277.5,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-022,Kenji Sato,Engineering,194000,4860.43,371.82,95.0,4393.61,5327.25,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-023,Ruth Adler,Legal ops,155000,3883.33,297.07,95.0,3491.26,4275.4,"Cambridge, MA",BANK-PAYROLL,
2025-10-03,2025-09-20,2025-10-03,EMP-024,Omar Farid,Engineering,176000,4409.46,337.32,95.0,3977.14,4841.78,"Cambridge, MA",BANK-PAYROLL,
